GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
23,4,7,:30 - :21,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
23,4,8,:20 - :11,Tip,TRUE,TRUE,Offensive Rebound,20 Jericho Sims,Opponent-Big,Missed 2,0
23,5,9,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Guard,Made 2,3
23,6,10,:30 - :21,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
23,7,11,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Made 2,2
23,8,12,:20 - :11,Layup,TRUE,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Guard,Assisted 2,2
23,9,13,:10 - :00,N/A,N/A,TRUE,Cut,20 Jericho Sims,Opponent-Guard,Turnover,0
23,10,14,:10 - :00,Off-the-dribble (3),TRUE,FALSE,N/A,N/A,N/A,Made 3,3
23,11,15,:20 - :11,Catch-and-shoot,FALSE,TRUE,Post-up (on the block),22 Kai Jones,Opponent-Big,Assisted 3,3
23,12,16,:20 - :11,Catch-and-shoot,TRUE,TRUE,Post-up (on the block),22 Kai Jones,Opponent-Big,Missed 2,0
23,12,17,:20 - :11,Catch-and-shoot,FALSE,TRUE,Offensive Rebound,30 Brock Cunningham,Opponent-Big,Missed 3,0
23,12,18,:20 - :11,Dunk,TRUE,TRUE,Offensive Rebound,22 Kai Jones,Opponent-Big,Made 2,2
23,13,19,:30 - :21,Layup,TRUE,TRUE,Transition,2 Matt Coleman III,Opponent-Guard,Missed 2,0
23,14,20,:10 - :00,Off-the-dribble (2),FALSE,TRUE,Cut,3 Courtney Ramey,Opponent-Guard,Missed 2,0
23,15,21,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,22 Kai Jones,Opponent-Big,Turnover,0
23,16,22,:10 - :00,Catch-and-shoot,FALSE,TRUE,Cut,4 Greg Brown,Opponent-Big,Missed 3,0
23,16,23,:20 - :11,N/A,N/A,TRUE,Cut,20 Jericho Sims,Opponent-Big,Floor Foul,0
23,16,24,:20 - :11,Dunk,FALSE,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Made 2,2
23,17,25,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Floor Foul,0
23,17,26,:20 - :11,Off-the-dribble (2),TRUE,TRUE,Perimeter Drive,13 Jase Febres,Opponent-Guard,Made 2,2
23,18,27,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Shooting Foul,2
23,19,28,:20 - :11,N/A,N/A,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Turnover,0
23,20,29,:20 - :11,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Assisted 3,3
23,21,30,:10 - :00,Floater/Runner,TRUE,TRUE,Post-up (on the block),20 Jericho Sims,Opponent-Big,Missed 2,0
23,22,31,:30 - :21,Layup,TRUE,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Big,Made 2,2
23,23,32,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
23,24,33,:10 - :00,Floater/Runner,TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
23,25,34,:20 - :11,Free Throws,N/A,TRUE,Perimeter Drive,22 Kai Jones,Opponent-Guard,Floor Foul (Bonus),2
23,26,35,:10 - :00,Layup,FALSE,TRUE,Perimeter Drive,20 Jericho Sims,Opponent-Big,Made 2,2
23,27,36,:30 - :21,N/A,N/A,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,No Result,0
23,28,37,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Assisted 2,2
23,29,38,:30 - :21,Dunk,TRUE,TRUE,Transition,1 Andrew Jones,Opponent-Big,Assisted 2,2
23,30,39,:20 - :11,Off-the-dribble (3),TRUE,FALSE,N/A,N/A,N/A,Made 3,3
23,31,40,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
23,32,41,:10 - :00,Layup,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Made 2,2
